Full Name, Age, Phone number, Street Adress, Code, City, Pet
Maren Skuterud,35,113 07 829,Østre Granittgata 8,1735,Fager,Miniature Fox Terrier
Hedda Stensrud,43,52 67 05 45,Rogneholtet 3,7136,Vest,undefined
Lars Sørlie,69,88411594,Lundes Gate 32,8764,Lille,Jack Russell Terrier
Prof. Even Tangen,20,91 35 82 50,Berntsensgate 08,7091,Mal,Exotic Shorthair
Prof. Jonathan Ruud,62,+47 66 80 41 69,Øvre Bekkerøa 7,3346,Inn,Exotic Shorthair
Ole Lie,45,+47 66 41 09 67,Sofieveien 65,6313,Nord,Bombay
Mina Wold,19,039 14 630,Sørlies Vei 3,4310,Tand,Borzoi
Selma Eriksen,18,12 75 29 41,Øvre Konvallmyra 1,6809,Lille,Somali
Mathilde Amundsen,66,11892481,Kugjerdet 4,1847,Tand,Selkirk Rex
Sunniva Andreassen,15,98104482,Kristiansenveien 28,0956,Inn,Black Mouth Cur
Hedda Nilsen,90,92385366,Lillekollen 06,0143,Gjes,Dogue Brasileiro
Nikolai Amundsen,59,+47 20 80 77 44,Østre Elveskrenten 29,3786,Sand,Grand Anglo-Français Tricolore
Mari Hopland,26,50528843,Sanderveien 04,8192,Ut,Japanese Bobtail
Oskar Eide,77,+47 13 74 06 75,Øvre Lillehøgda 6,4708,Fager,undefined
Dr. Markus Gundersen,25,+47 57 11 34 08,Sørlies Gate 80,9431,Høy,Central Asian Shepherd Dog
Dr. Sara Bakken,55,938 34 014,Prestestien 74,9489,Stor,Swedish Lapphund
Kristian Halvorsen,94,971 96 569,Fjeldsvei 25,7693,Inn,Munchkin
Kristine Fjeld,62,00333682,Kristoffersensvei 82,0555,Ut,Galgo Español
Madeleine Mathisen,55,807 12 335,Aalerudveien 1,2576,Sand,Azawakh
Lars Østby,91,65102330,Torgholtet 4,7916,Stor,Alaskan Malamute
Andrea Jensen,76,+47 71 85 12 61,Østre Sjøplassen 2,6529,Stav,Podenco Canario
Dr. Aurora Fossum,83,597 90 365,Vassmoen 11,0512,Stav,German Shepherd Dog
Thomas Strand,67,72809248,Heddasvei 74,0079,Nær,Japanese Bobtail
Erik Berge Sr.,43,664 73 599,Solduggberget 53,2256,Vest,Phu Quoc Ridgeback
Fredrik Pettersen,58,+47 77 71 55 28,Heleneveien 98,3373,Sme,Savannah
Hanna Vegge,33,710 14 490,Gamle Heggeholtet 6,7082,Nær,German Longhaired Pointer
Mathilde Bjerke IV,20,781 37 768,Nikolaisvei 2,3345,Sand,German Spitz
Mia Jakobsen,89,74 50 01 43,Jensens Vei 4,4438,Fager,undefined
Sindre Fredriksen,92,44283071,Hestemyrskogen 6,5982,Tand,Cairn Terrier
Camilla Berg,39,+47 95 89 65 24,Arnesensgate 52,4705,Lille,Somali
Kaja Skoglund,36,+47 88 38 57 94,Kirkeeggen 1,4172,Fager,German Roughhaired Pointer
Maren Kristoffersen,61,31079884,Vestre Høyjordet 70,9593,Stav,Korat
Amalie Nilsen,47,28 13 20 38,Tinggata 07,3030,Mal,undefined
Anders Bakken,60,96251706,Elinesvei 98,1182,Vest,Karakachan dog
Andrea Torp,25,30075281,Liesgate 83,0868,Inn,Chartreux
