Maren Skuterud,35,113 07 829,Østre Granittgata 8,1735,Fager,Miniature Fox Terrier
Mina Wold,19,039 14 630,Sørlies Vei 3,4310,Tand,Borzoi
Selma Eriksen,18,12 75 29 41,Øvre Konvallmyra 1,6809,Lille,Somali
Mathilde Amundsen,66,11892481,Kugjerdet 4,1847,Tand,Selkirk Rex
Nikolai Amundsen,59,+47 20 80 77 44,Østre Elveskrenten 29,3786,Sand,Grand Anglo-Français Tricolore
Oskar Eide,77,+47 13 74 06 75,Øvre Lillehøgda 6,4708,Fager,undefined
Kristine Fjeld,62,00333682,Kristoffersensvei 82,0555,Ut,Galgo Español
Amalie Kristensen,91,+47 18 53 51 62,Vestre Heggestykket 80,0145,Lille,Pražský Krysařík
Ingrid Østli,19,08268456,Fiolvollen 02,0546,Stor,Dutch Smoushond
Anders Jørgensen,70,+47 10 26 05 07,Gamle Furustranda 9,0465,Inn,Havana
Kristine Nilsen,16,+47 10 38 53 74,Søndre Sjølyngen 78,8099,Tand,Devon Rex
Madeleine Vegge II,32,18 99 97 91,Klevenveien 61,7301,Nord,Basset Fauve de Bretagne
Nora Solberg,29,04712504,Granholtet 76,1440,Nord,Selkirk Rex
Dr. Håkon Fredriksen,50,712 16 090,9552,Mal,Peterbald
Lars Huseby,51,13 29 81 59,Kvarmesvei 26,0460,Høy,Persian
38,09714161,Svendsensvei 09,6796,Gjes,Norwich Terrier
Adrian Aalerud,22,52839006,Joakims Gate 25,6955,Stor,Curly-Coated Retriever
Emma Jensen,31,15008746,Andreas Vei 16,6281,Lo,Egyptian Mau
Kristine Gundersen,87,04319639,Kristiansens Gate 8,9990,Ut,Peruvian Inca Orchid
Kasper Glosli I,41,+47 19 94 48 47,Gamle Damholtet 17,0223,Høy,Wirehaired Pointing Griffon
Maria Berg Sr.,46,09 36 12 10,Øvre Kirkegropa 9,6596,Stav,Briquet Griffon Vendéen
Ida Borge,15,01 28 02 09,Vestre Granitttoppen 0,1752,Gjes,Thai
Joakim Thoresen,35,+47 08 50 59 78,Vestre Konvallfaret 27,5861,Sand,Burmese
Dr. Theodor Fredriksen,53,19 04 41 77,Simens Gate 6,3980,Nord,Caucasian Shepherd Dog
Thomas Aas,75,11 45 42 12,Benjamingata 7,8528,Sme,Devon Rex
Kaja Olsen,46,10 10 93 69,Lucassvei 03,7840,Sand,Siamese
Dr. Oliver Carlsen,90,12440673,Klevengata 26,4447,Lille,Japanese Bobtail
Dr. Celine Nordskaug Sr.,64,186 37 801,Sørliegata 10,8421,Inn,Bombay
Synne Hansen,60,06613698,Liesgate 2,0944,Stor,Ragdoll
Prof. Marie Johnsen,92,+47 11 87 41 71,Søndre Solhaugen 48,7502,Sme,Magyar agár
Kristian Solli II,82,10 96 96 16,Selmas Vei 0,0891,Fager,Spanish Mastiff
Anna Fossum,90,004 94 948,Elveskogen 7,9444,Ut,Sphynx
Herman Bjørnstad,17,05 67 66 86,Skoglundsvei 0,9100,Høy,LaPerm
Magnus Solheim,94,+47 50 21 77 82,Larss Vei 5,7369,Stav,Curly-Coated Retriever
Thea Aas,32,106 34 458,Solvika 8,2546,Sme,West Highland White Terrier
Markus Strand,50,+47 16 91 45 57,Hermansgate 33,0577,Fager,Pyrenean Mountain Dog
Elise Gran,82,16 50 56 89,Benjaminsvei 52,5656,Fet,Burgos Pointer
Sander Danielsen,54,031 63 682,Finstadsvei 75,0961,Mal,Siberian
Prof. Filip Ryan,28,05 69 79 70,Mathisens Vei 20,2818,Høy,American Shorthair
Prof. Natalie Røed,67,+47 11 21 33 08,Skuterudgata 6,9818,Fet,Peterbald
Herman Aasen,56,+47 13 34 29 06,Nedre Høyhaugen 1,0732,Stav,Sphynx
Dr. Elise Nordskaug,80,11 99 68 02,Andersensgate 9,6022,Fet,Istrian Shorthaired Hound
Markus Larsen,39,144 36 403,Berntsens Vei 7,1194,Nær,Flat-Coated Retriever
Linnea Eriksen,87,+47 15 29 76 07,Heggeengen 2,4720,Vest,American Shorthair
Sandra Solberg,92,04 01 47 72,Gundersensvei 96,8572,Mal,LaPerm
Mari Røed,50,013 33 002,Siljegata 6,2549,Nord,Jonangi
Prof. Amalie Sørlie,48,100 81 739,Øvre Tingringen 24,8106,Inn,Munchkin
Daniel Røed III,28,12388906,Torgstykket 79,3270,Sand,Pixiebob
Theodor Lie,68,16 30 43 33,Simengata 4,0295,Inn,Redbone Coonhound
64,24 36 55 94,Gamle Granittholtet 9,1299,Sand,Oriental
Kristine Kleven,78,+47 34 56 98 64,0418,Nord,Field Spaniel
